"","model","(Intercept)","elev","FR_MATDELog","HIDRO_ITH","DS_ARBOLLog","TP_RSH_V","TP_ES_OE","TP_RSD_P","df","logLik","BIC","delta","weight","r2"
"friqt1",riq ~ 1 + HIDRO_ITH + elev + FR_MATDELog,38.1872398791165,-0.00862736747730854,11.4316585393868,-2.34177821705739,NA,NA,NA,NA,5,-338.935036142374,700.895923214689,0,0.643450819993359,0.803
"friqt2",riq ~ 1 + HIDRO_ITH + elev + FR_MATDELog + DS_ARBOLLog,36.3752347575461,-0.00738598865650739,11.4135559187489,-1.94320750860649,-0.572726564847316,NA,NA,NA,6,-338.405711250675,704.442443617278,3.54652040258907,0.109244162167947,0.805
"friqt3",riq ~ 1 + TP_RSH_V + HIDRO_ITH + elev + FR_MATDELog,25.8974759059772,-0.00854891305209404,11.5028998784525,-2.40329906116932,NA,0.971135711140486,NA,NA,6,-338.63109223103,704.893205577989,3.99728236330054,0.0872000074768449,0.804
"friqt4",riq ~ 1 + HIDRO_ITH + elev + TP_ES_OE + FR_MATDELog,38.0290059107493,-0.00812032857182988,11.5090137445667,-2.25043430113387,NA,NA,-0.0317702822876319,NA,6,-338.676340962332,704.983703040593,4.08777982590368,0.0833422551577978,0.804
"friqt5",riq ~ 1 + HIDRO_ITH + elev + TP_RSD_P + FR_MATDELog,38.7157593969003,-0.0080472810270651,11.3774993414721,-2.16253343152427,NA,NA,NA,-0.000559324584810189,6,-338.758577083446,705.148175282821,4.25225206813218,0.0767627552040513,0.803
