nombre,transecto,year,ntotal,total_long,den,code
Aguas Verdes,15,2012,101,192.54,0.5245663238807521,AV
Aguas Verdes,15,2013,95,160.45,0.5920847616079776,AV
Aguas Verdes,15,2014,71,160.45,0.442505453412278,AV
Aguas Verdes,15,2015,38,96.27,0.3947231744053184,AV
Aguas Verdes,15,2016,57,160.45,0.3552508569647866,AV
Aguas Verdes,15,2017,131,224.63,0.5831812313582335,AV
Aguas Verdes,15,2019,86,192.54,0.44666043419549184,AV
Barranco de San Juan,33,2012,126,27.18,4.635761589403973,BSJ
Barranco de San Juan,33,2013,375,67.95,5.518763796909492,BSJ
Barranco de San Juan,33,2014,365,49.83,7.324904675898054,BSJ
Barranco de San Juan,33,2015,94,31.71,2.9643645537685273,BSJ
Barranco de San Juan,33,2016,163,40.77,3.99803777287221,BSJ
Barranco de San Juan,33,2017,292,40.77,7.162129016433652,BSJ
Barranco de San Juan,33,2019,189,40.77,4.635761589403973,BSJ
BMS_ DurcaL,45,2014,2539,320.67,7.91779711229613,DU
BMS_ DurcaL,45,2015,2146,391.93,5.4754675579822925,DU
BMS_ DurcaL,45,2016,4664,356.3,13.090092618579847,DU
BMS_ DurcaL,45,2017,3369,285.04,11.819393769295537,DU
BMS_ DurcaL,45,2018,3455,320.67,10.774316275298593,DU
BMS_ DurcaL,45,2019,2849,320.67,8.884523029906134,DU
BMS_Laguna,46,2014,307,75,4.093333333333334,LP
BMS_Laguna,46,2015,207,55,3.7636363636363637,LP
BMS_Laguna,46,2016,207,40,5.175,LP
BMS_Laguna,46,2017,127,45,2.8222222222222224,LP
BMS_Laguna,46,2018,142,45,3.1555555555555554,LP
BMS_Laguna,46,2019,156,45,3.466666666666667,LP
BMS_Pitres,48,2014,928,267.1,3.474354174466492,PI
BMS_Pitres,48,2015,1287,240.39,5.353800074878323,PI
BMS_Pitres,48,2016,791,213.68,3.7017970797454134,PI
BMS_Pitres,48,2017,1189,213.68,5.564395357543991,PI
BMS_Pitres,48,2018,1078,213.68,5.044926993635342,PI
BMS_Pitres,48,2019,647,186.97,3.4604482002460286,PI
BMS_Turbera,49,2014,253,413.1,0.6124425078673444,TP
BMS_Turbera,49,2015,510,330.48,1.5432098765432098,TP
BMS_Turbera,49,2016,183,220.32,0.8306100217864923,TP
BMS_Turbera,49,2017,201,247.86,0.8109416606148632,TP
BMS_Turbera,49,2018,326,247.86,1.3152586137335591,TP
BMS_Turbera,49,2019,407,247.86,1.642055999354474,TP
Campo Otero,24,2012,559,209.44,2.669022154316272,CO
Campo Otero,24,2013,1939,299.2,6.480614973262032,CO
Campo Otero,24,2014,1155,269.28,4.2892156862745106,CO
Campo Otero,24,2015,799,179.52,4.450757575757575,CO
Campo Otero,24,2016,983,209.44,4.693468296409473,CO
Campo Otero,24,2017,1108,239.36,4.629010695187166,CO
Campo Otero,24,2019,780,269.28,2.896613190730838,CO
Carihuela,38,2012,11,11.61,0.9474590869939707,CAR
Carihuela,38,2013,11,19.35,0.5684754521963824,CAR
Carihuela,38,2014,12,15.48,0.7751937984496123,CAR
Carihuela,38,2015,1,7.74,0.12919896640826872,CAR
Carihuela,38,2016,13,15.48,0.8397932816537468,CAR
Carihuela,38,2017,7,23.22,0.3014642549526271,CAR
Carihuela,38,2019,8,19.35,0.4134366925064599,CAR
Cauchiles,37,2012,12,24.96,0.4807692307692307,CAU
Cauchiles,37,2013,26,43.68,0.5952380952380952,CAU
Cauchiles,37,2014,24,31.2,0.7692307692307693,CAU
Cauchiles,37,2015,43,12.48,3.4455128205128203,CAU
Cauchiles,37,2016,48,31.2,1.5384615384615385,CAU
Cauchiles,37,2017,44,43.68,1.0073260073260073,CAU
Cauchiles,37,2019,24,37.44,0.6410256410256411,CAU
Hoya Mora,16,2012,321,202.64,1.5840900118436638,HM
Hoya Mora,16,2013,277,151.98,1.822608237926043,HM
Hoya Mora,16,2014,346,151.98,2.276615344124227,HM
Hoya Mora,16,2015,298,126.65,2.3529411764705883,HM
Hoya Mora,16,2016,302,126.65,2.3845242795104618,HM
Hoya Mora,16,2017,537,227.97,2.355573101723911,HM
Hoya Mora,16,2019,628,151.98,4.132122647716805,HM
La Fabriquilla,32,2012,31,24.9,1.244979919678715,FA
La Fabriquilla,32,2013,186,58.1,3.201376936316695,FA
La Fabriquilla,32,2014,88,41.5,2.1204819277108435,FA
La Fabriquilla,32,2015,20,8.3,2.4096385542168672,FA
La Fabriquilla,32,2016,105,37.35,2.8112449799196786,FA
La Fabriquilla,32,2017,130,37.35,3.480589022757697,FA
La Fabriquilla,32,2019,79,33.2,2.3795180722891565,FA
Laguna Seca,14,2012,990,182.64,5.420499342969777,LS
Laguna Seca,14,2013,1415,304.4,4.648488830486203,LS
Laguna Seca,14,2014,647,243.52,2.6568659658344282,LS
Laguna Seca,14,2015,385,182.64,2.107971966710469,LS
Laguna Seca,14,2016,660,273.96,2.4091108190976787,LS
Laguna Seca,14,2017,542,243.52,2.2256898817345596,LS
Laguna Seca,14,2019,914,243.52,3.7532851511169514,LS
Las Catifas,34,2012,123,28.98,4.244306418219462,CA
Las Catifas,34,2013,288,72.45,3.9751552795031055,CA
Las Catifas,34,2014,187,57.96,3.2263630089717044,CA
Las Catifas,34,2015,113,33.81,3.3422064477965097,CA
Las Catifas,34,2016,190,43.47,4.37083045778698,CA
Las Catifas,34,2017,272,48.3,5.6314699792960665,CA
Las Catifas,34,2019,170,43.47,3.910743041177824,CA
Las Sabinas,36,2012,43,14.45,2.975778546712803,SA
Las Sabinas,36,2013,127,43.35,2.9296424452133794,SA
Las Sabinas,36,2014,92,31.79,2.8939918213274614,SA
Las Sabinas,36,2015,69,11.56,5.968858131487889,SA
Las Sabinas,36,2016,22,26.01,0.845828527489427,SA
Las Sabinas,36,2017,72,26.01,2.7681660899653977,SA
Las Sabinas,36,2019,106,26.01,4.075355632449058,SA
Loma papeles bajo,18,2012,496,192.01,2.5831987917295973,PB
Loma papeles bajo,18,2013,685,301.73,2.2702416067344977,PB
Loma papeles bajo,18,2014,589,274.3,2.147283995625228,PB
Loma papeles bajo,18,2015,290,164.58,1.7620610037671647,PB
Loma papeles bajo,18,2016,348,192.01,1.8124056038747982,PB
Loma papeles bajo,18,2017,390,246.87,1.5797788309636651,PB
Loma papeles bajo,18,2019,312,246.87,1.263823064770932,PB
Los Praillos,35,2012,53,21.96,2.413479052823315,PR
Los Praillos,35,2013,231,51.24,4.508196721311475,PR
Los Praillos,35,2014,218,40.26,5.4148037754595135,PR
Los Praillos,35,2015,83,21.96,3.77959927140255,PR
Los Praillos,35,2016,163,32.94,4.948391013964785,PR
Los Praillos,35,2017,215,32.94,6.52701882210079,PR
Los Praillos,35,2019,124,32.94,3.764420157862781,PR
Matas verdes,21,2012,1634,187.04,8.736099230111206,MV
Matas verdes,21,2013,2124,347.36,6.114693689543989,MV
Matas verdes,21,2014,1594,267.2,5.9655688622754495,MV
Matas verdes,21,2015,660,187.04,3.5286569717707446,MV
Matas verdes,21,2016,1114,240.48,4.632401862940785,MV
Matas verdes,21,2017,1207,240.48,5.019128409846973,MV
Matas verdes,21,2019,852,240.48,3.5429141716566868,MV
Papeles alto,17,2012,484,184.08,2.6292916123424597,PA
Papeles alto,17,2013,1161,306.8,3.784224250325945,PA
Papeles alto,17,2014,680,306.8,2.2164276401564535,PA
Papeles alto,17,2015,368,153.4,2.3989569752281614,PA
Papeles alto,17,2016,864,214.76,4.023095548519278,PA
Papeles alto,17,2017,479,245.44,1.9515971316818774,PA
Papeles alto,17,2019,353,245.44,1.438233376792699,PA
Purche,20,2012,1254,193.06,6.495390034186263,PU
Purche,20,2013,2516,275.8,9.122552574329223,PU
Purche,20,2014,2051,275.8,7.436548223350253,PU
Purche,20,2015,1098,193.06,5.687351082565006,PU
Purche,20,2016,942,220.64,4.26939811457578,PU
Purche,20,2017,410,220.64,1.8582306018854244,PU
Purche,20,2019,1142,193.06,5.915259504817155,PU
Robledal dilar,23,2012,1473,190.75,7.722149410222805,DI
Robledal dilar,23,2013,1955,272.5,7.174311926605505,DI
Robledal dilar,23,2014,2017,272.5,7.401834862385321,DI
Robledal dilar,23,2015,851,190.75,4.461336828309306,DI
Robledal dilar,23,2016,1148,272.5,4.2128440366972475,DI
Robledal dilar,23,2017,1431,245.25,5.834862385321101,DI
Robledal dilar,23,2019,1396,272.5,5.122935779816514,DI
