"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","2.8295 (1.7149)","1.6499","0.10"
"2","TP_RSH_V","0.2834 (0.1212)","2.3389","0.02"
"3","HIDRO_ITH","-0.2129 (0.0742)","-2.8682","0.005"
"4","elev","-0.0008 (0.0002)","-4.2020","<0.001"
"5","FR_MATDELog","1.1598 (0.0684)","16.9668","<0.001"
"6","DS_ARBOLLog","-0.1301 (0.0542)","-2.3999","0.02"
"7","DegreeFreedom","94","",""
"8","AIC","219","",""
"9","BIC","237","",""
"10","DevianceExplained","0.837","",""
