code,year,p_anu_year,p_pri_year,p_ver_year,p_oto_year,p_inv_year,t_pri_year,t_ver_year,t_oto_year,t_inv_year,t_anual
AV,2012,616.168305,99.52902599999999,79.466406,376.82721000000004,60.345662999999995,8.536735,18.295748,-0.017166999999999998,-2.496849,8.536735
AV,2013,396.35719499999993,62.798625,70.855803,67.726959,194.97580799999997,4.25485,9.836261,-2.692909,-6.786304,4.25485
AV,2014,358.96011599999997,62.735640000000004,17.985759,148.527135,129.71158200000002,3.391165,9.961646,-0.362577,-5.103404,3.391165
AV,2015,381.370005,62.00013,53.782830000000004,122.71764000000002,142.869405,1.944326,8.800999000000001,-0.439146,-8.172524,1.944326
AV,2016,435.94162500000004,113.77572900000001,6.601878000000001,223.84266000000002,91.721358,7.458496,16.139931,0.692943,-2.147173,7.458496
AV,2017,287.982702,31.595934,16.032536999999998,142.01638499999999,98.33784600000001,10.53516,17.357796,2.326817,-2.609288,10.53516
AV,2018,665.1548547744751,82.73837661743164,51.53415966033936,142.6466655731201,388.235652923584,5.0258666918827934,15.398676467664309,1.357344272800467,-5.214750612624968,5.0258666918827934
AV,2019,283.5696933202515,82.74711894989014,32.683509349823,125.495651,42.64341402053833,8.085036369285199,15.59510834507211,1.1450020812018211,-0.7167575798033281,8.085036369285199
CAR,2012,620.353998,99.226077,79.154298,381.007416,60.966207,7.83257,17.908842,-0.443445,-2.930509,7.83257
CAR,2013,383.658801,64.37581499999999,60.466563,64.490433,194.32599,3.513189,9.245326,-3.381778,-7.580896,3.513189
CAR,2014,359.692812,63.127767,18.00372,146.15812799999998,132.403197,2.52416,9.496181,-1.066324,-5.989866,2.52416
CAR,2015,381.41797800000006,62.055537,55.261298999999994,121.666842,142.4343,1.19499,8.186281,-0.818592,-8.900862,1.19499
CAR,2016,434.23092299999996,114.107058,6.646005000000001,220.865844,92.612016,7.236751,15.520035,0.818861,-1.8580169999999998,7.236751
CAR,2017,292.239192,31.217568,15.558281999999998,146.21568,99.247662,9.987998,16.965748,1.7414290000000001,-2.403169,9.987998
CAR,2018,664.8750607705078,80.77434539794922,50.43920135498047,147.075546,386.5859680175781,4.752368450164795,14.837967,0.7649790197610855,-5.946920951207479,4.752368450164795
CAR,2019,280.77930200000003,80.097969,30.96829,125.166168,44.546875,7.410933,14.954982,0.24201799999999998,-1.4232019999999999,7.410933
CAU,2012,602.789304,97.19306999999999,72.930204,373.498056,59.167974,9.676926,19.034296,1.47222,-1.111647,9.676926
CAU,2013,390.818703,64.319739,62.69166299999999,65.679378,198.127923,5.667799,10.663177,-1.5235400000000001,-5.146538,5.667799
CAU,2014,356.34885,63.832896000000005,17.600535,143.257461,131.657958,4.078036,10.550441,0.347025,-4.132291,4.078036
CAU,2015,386.721075,68.34320699999999,48.32409,107.474832,162.578946,2.794765,9.282953,0.714687,-7.026759,2.794765
CAU,2016,476.569068,125.31177600000001,6.909753,215.84745,128.500089,8.641422,16.934896,2.463556,-0.438731,8.641422
CAU,2017,294.871842,28.387808999999997,14.738688,150.674778,101.07056699999998,11.585568,18.251476,3.4738759999999997,-0.596649,11.585568
CAU,2018,653.6587600947265,83.10096740722656,50.801292,141.878571,377.8779296875,6.623316,16.386662,2.504509,-3.768804,6.623316
CAU,2019,291.919262,83.340019,33.427132,129.793304,45.358807,9.241754,16.915339,2.7010009999999998,0.280939,9.241754
HM,2012,612.627129,111.223365,70.307733,375.605643,55.490387999999996,11.143395,20.055489,3.037489,0.386968,11.143395
HM,2013,396.333366,64.32934499999999,62.888322,66.61643099999999,202.49926800000003,7.374368,11.928479,-0.10613,-3.395053,7.374368
HM,2014,359.058645,64.674012,17.699349,142.9926,133.69268399999999,3.272446,9.894116,-0.695566,-4.291039,3.272446
HM,2015,400.452639,79.002828,47.467176,102.691623,171.291012,4.288556,10.434855,0.63791,-5.5559709999999995,4.288556
HM,2016,482.25686999999994,127.333179,6.737976000000001,214.97488499999997,133.21083,9.974317,18.184355,4.106844,0.894944,9.974317
