"","model","(Intercept)","DS_ARBOL","FR_MATDE","HIDRO_ITH","TP_ES_OE","TP_RSH_V","elev","TP_RSD_P","df","logLik","BIC","delta","weight","r2"
"fdiv1",div ~ 1 + FR_MATDE + HIDRO_ITH + TP_ES_OE + DS_ARBOL,3.77129628139327,-0.000218534432697969,0.0282573949610816,-0.138370993824171,-0.00975528866806674,NA,NA,NA,6,-38.9129210081557,105.396561117119,0,0.496161845018749,0.767
"fdiv2",div ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + TP_ES_OE + DS_ARBOL,1.99379075922115,-0.000189597919914208,0.0321843929833762,-0.148338950559914,-0.0112754794827358,0.144272311869052,NA,NA,7,-37.0455715679533,106.256982086849,0.860420969729788,0.322689864158229,0.776
"fdiv3",div ~ 1 + FR_MATDE + HIDRO_ITH + elev + TP_ES_OE + DS_ARBOL,4.02039171934274,-0.000203087057409845,0.0282070579657468,-0.158582318648088,-0.00914641518574319,NA,-7.93890369450634e-05,NA,7,-38.6071891376327,109.380217226208,3.9836561090886,0.067699183507653,0.769
"fdiv4",div ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + elev + TP_ES_OE + DS_ARBOL,2.17469207216633,-0.000163850833125408,0.0325203075607328,-0.179114481533371,-0.0105384096643095,0.159334038564927,-0.000116797135915833,NA,8,-36.3767569925073,109.514472786091,4.11791166897238,0.0633038620701324,0.779
"fdiv5",div ~ 1 + FR_MATDE + HIDRO_ITH + TP_ES_OE + DS_ARBOL + TP_RSD_P,3.78922347599813,-0.000218165782629957,0.028133911374627,-0.138114624213949,-0.0096592315566774,NA,NA,-4.69824841894516e-06,7,-38.9073395577801,109.980518066502,4.58395694938342,0.0501452452452357,0.767
