"","model","(Intercept)","elev","FR_MATDELog","HIDRO_ITH","TP_ES_OE","TP_RSH_V","DS_ARBOLLog","df","logLik","BIC","delta","weight","r2"
"friqt1",riq_sqrt ~ 1 + TP_RSH_V + HIDRO_ITH + elev + TP_ES_OE + FR_MATDELog,2.91643394236671,-0.000881915537888511,1.19182587005381,-0.273676647780853,-0.0108293427859912,0.304753641660463,NA,7,-102.336178221375,236.908547744667,0,0.289273718714832,0.838
"friqt2",riq_sqrt ~ 1 + TP_RSH_V + HIDRO_ITH + elev + TP_ES_OE + FR_MATDELog + DS_ARBOLLog,2.54841835573663,-0.000668065656930111,1.18482706627319,-0.201803424664667,-0.00931214114001013,0.306993176792428,-0.109750376091896,8,-100.162345178987,237.166051845879,0.257504101212845,0.254327120104864,0.845
"friqt3",riq_sqrt ~ 1 + TP_RSH_V + HIDRO_ITH + elev + FR_MATDELog + DS_ARBOLLog,2.82950637783,-0.000774522948279132,1.15977750443845,-0.212930872712112,NA,0.283363490272809,-0.130082237991221,7,-102.626859758283,237.489910818483,0.581363073816505,0.216305514333237,0.837
"friqt4",riq_sqrt ~ 1 + HIDRO_ITH + elev + FR_MATDELog + DS_ARBOLLog,6.4257499629355,-0.000804448253067377,1.1390928683028,-0.197238200955965,NA,NA,-0.12683727314236,6,-105.455144770694,238.541310657316,1.63276291264958,0.12786715931086,0.827
"friqt5",riq_sqrt ~ 1 + HIDRO_ITH + elev + TP_ES_OE + FR_MATDELog,6.77818352908274,-0.00092281108279106,1.16698645766068,-0.257302777383699,-0.00980953626684404,NA,NA,6,-105.585617638298,238.802256392525,1.89370864785886,0.112226487536208,0.827
