nombre,mean,sd,se,elev,code
Aguas Verdes,0.4769960336892626,0.09172804384135395,0.03466994175066464,3122,AV
Barranco de San Juan,5.177103284955697,1.6094833390438361,0.6083275220588349,1300,BSJ
BMS_ DurcaL,9.660265060559755,2.7862937517113813,1.1374996608663146,1967,DU
BMS_Laguna,3.7460690235690235,0.8298204134610944,0.33877276518750776,737,LP
BMS_Pitres,4.433286980085931,0.9901412946613767,0.4042234908631831,1278,PI
BMS_Turbera,1.1257531133166572,0.4304543243782705,0.1757322420502061,754,TP
Campo Otero,4.301243224562552,1.2695513379276253,0.47984530239797424,2320,CO
Carihuela,0.5678602190230098,0.3022878353894409,0.11425406240007004,3100,CAR
Cauchiles,1.211080586080586,1.0467562735160103,0.3956366832885813,2800,CAU
Hoya Mora,2.415496399902243,0.8182613485251076,0.30927371937911186,2528,HM
La Fabriquilla,2.5211184875556647,0.7403857550010985,0.279839511712529,1000,FA
Laguna Seca,3.3174159939928667,1.3102583575185727,0.4952311096054429,2284,LS
Las Catifas,4.100153518964522,0.79879812554714,0.30191731256318327,1600,CA
Las Sabinas,3.2082315992350594,1.5480074204054712,0.5850918088679272,2200,SA
Loma papeles bajo,1.9169704139236976,0.446642191088127,0.1688148803783105,2195,PB
Los Praillos,4.479415544989315,1.3264898214713972,0.5013660263245405,1900,PR
Matas verdes,5.362780456877976,1.809027307312087,0.6837480528675143,1894,MV
Papeles alto,2.6345466478638393,0.9467282025627062,0.35782962616458613,2466,PA
Purche,5.826390019387015,2.3131003947062823,0.8742697717025955,1493,PU
Robledal dilar,5.990039318479686,1.4529955516367372,0.5491806979591307,1679,DI
