"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","1.7191 (0.8138)","2.1124","0.04"
"2","TP_RSH_V","0.1375 (0.0575)","2.3910","0.02"
"3","HIDRO_ITH","-0.1224 (0.0352)","-3.4727","<0.001"
"4","elev","-0.0002 (0.0001)","-2.1568","0.03"
"5","FR_MATDELog","0.4573 (0.0326)","14.0249","<0.001"
"6","DS_ARBOLLog","-0.1430 (0.0258)","-5.5434","<0.001"
"7","DegreeFreedom","93","",""
"8","AIC","69","",""
"9","BIC","88","",""
"10","DevianceExplained","0.814","",""
