code,Pp_anu,TP_PEND,FR_MATDE,TP_SU_NO,FR_QUERC,FR_CONIF,TP_RSH_V,HIDRO_ITH,t_anual,elev,TP_ES_OE,DS_ARBOL,TP_RSD_P,Pp_ver,den_mean,den_sd,den_se,div_mean,div_sd,div_se
AV,428.1880620118408,24.51724137931,0,24.747126436782,0,0,11.413793103448,6.5668965482164,4.043158063608701,3122,38.367816091954,5525.3736263736,6407.4942528736,41.117860251270294,0.4769960336892626,0.09172804384135395,0.03466994175066464,0.8789332372921259,0.6175987023182914,0.21835411523063789
CAR,427.1560083463135,20.5,0,47.444444444444,0,0,12.611111111111,5.8311111132304,3.5122508599599502,3100,79.944444444444,5245.8,5727.6111111111,39.562207294372556,0.5678602190230098,0.3022878353894409,0.11425406240007004,0.7366144260911873,0.5834060645452162,0.20626519221263948
CAU,431.7121080118408,17.923076923077,0,70.692307692308,0,0,12.846153846154,5.9576923297002,5.2044274999999995,2800,78.615384615385,3613.7647058824,4897.9230769231,38.427919625,1.211080586080586,1.0467562735160103,0.3956366832885813,1.265812302055964,0.7518324451684723,0.2658129101473449
HM,437.1530695162964,17.542857142857,7.5714285714286,72.185714285714,0,0,13.014285714286,6.8238571235112,6.221203341921707,2528,43.057142857143,2515.6428571429,4774.5571428571,37.89365108659363,2.415496399902243,0.8182613485251076,0.30927371937911186,2.2057465507339584,0.8992347846503967,0.3179275070525601
PA,431.518402828125,12.028571428571,11.616438356164,22.114285714286,0,14.849315068493,13.4,6.2094285624368,7.533478634869333,2466,66.128571428571,610.7397260274,6281.6,39.83714164117432,2.6345466478638393,0.9467282025627062,0.35782962616458613,1.9842914424734728,0.8388282326101809,0.29657056576469276
CO,435.16760368484495,20.678571428571,25.380952380952,76.333333333333,4.7619047619048,13.714285714286,13.02380952381,6.5679762022836,7.644217152983737,2320,40.154761904762,364.69047619048,4446.8214285714,36.88167048612595,4.301243224562552,1.2695513379276253,0.47984530239797424,2.3792581473345575,0.9741278100046762,0.3444061900983536
LS,335.53690424999996,11.328358208955,0,33.149253731343,0,36.739726027397,13.238805970149,6.8098507710357,9.64828996875,2284,42.417910447761,103.24657534247,5896.4179104478,40.501872875000004,3.3174159939928667,1.3102583575185727,0.4952311096054429,1.611336488193189,0.7118417285031998,0.2516740566780829
SA,417.585095875,15.5,2.2,25.875,0,40,13,6.9650000333786,7.96537715625,2200,75.875,37.5,6314.75,35.078993875,3.2082315992350594,1.5480074204054712,0.5850918088679272,2.122824769489317,0.8751253365504301,0.30940352993148434
PB,440.9364393627243,16.907692307692,11.757142857143,31.061538461538,0.15714285714286,0,12.984615384615,5.7007692263677,8.656691616104544,2195,62.953846153846,995.04285714286,6207.5692307692,35.91047774027252,1.9169704139236976,0.446642191088127,0.1688148803783105,2.2869358201586847,0.9392295541972921,0.3320677934318616
DU,387.086607884964,15.515789473684,40.722772277228,64.631578947368,2.1782178217822,5.8811881188119,12.378947368421,7.819052635996,9.549751576146427,1967,83.757894736842,655.31683168317,5060.4947368421,35.8479673356781,9.660265060559755,2.7862937517113813,1.1374996608663146,2.3284829447107724,1.4399197262269494,0.5090885013896764
PR,422.94457936352535,17.3,8.4545454545455,77.5,0,30.727272727273,13.3,8.0010000705719,9.52335846875,1900,28.3,88.181818181818,4451.7,34.828171375000004,4.479415544989315,1.3264898214713972,0.5013660263245405,2.65352805516244,1.095480384887436,0.38731080440537746
MV,405.31441664740754,18.029850746269,21.072463768116,73.179104477612,0.2463768115942,22.115942028986,13.179104477612,6.7204478178451,8.988152734138799,1894,54,322.24637681159,4603.0298507463,36.65563200963592,5.362780456877976,1.809027307312087,0.6837480528675143,2.5583232770875775,1.0979829060966164,0.38819557926391485
DI,391.55819155354055,26.808219178082,44.113924050633,72.780821917808,35.898734177215,4.6708860759494,11.904109589041,7.265205487813,10.332467079906916,1679,72.287671232877,168.51898734177001,3942.5616438356,35.85892632205454,5.990039318479686,1.4529955516367372,0.5491806979591307,2.5804599468127636,1.1193792734024262,0.39576033747126294
CA,426.305683125,24.083333333333,7.0714285714286,85.916666666667,5.8571428571429,28.428571428571,13.083333333333,6.3516666889191,10.642338593749999,1600,36.25,39,3604.3333333333,34.7249895,4.100153518964522,0.79879812554714,0.30191731256318327,2.505915554112947,1.029402670714762,0.3639488045169754
PU,406.99706497489166,17.147058823529,18.720588235294,71.088235294118,3.4117647058824,1.2205882352941,12.794117647059,6.2622059092802,12.174176404420962,1493,44.5,933.61764705882,4574.7058823529,35.36601519565583,5.826390019387015,2.3131003947062823,0.8742697717025955,2.536190561431555,1.0438127190592328,0.369043525967776
BSJ,434.77848714202884,25.727272727273,18.214285714286,72.818181818182,20.642857142857,5.7857142857143,11.545454545455,6.8663636554371,11.671156000962974,1300,23.363636363636,46.571428571429,3825.7272727273,36.03900929766846,5.177103284955697,1.6094833390438361,0.6083275220588349,2.5837490999368526,1.0520656770579924,0.37196138725066136
PI,431.89701855229947,13.492753623188,10.714285714286,17.565217391304,26.785714285714,7.7428571428571,12.971014492754,8.011884101923,12.826844598592304,1278,31.724637681159,95.214285714286,6194.7246376812,37.11056572652436,4.433286980085931,0.9901412946613767,0.4042234908631831,2.1750938420074504,1.3464431899874338,0.47603955506128065
