Est.,S.E.,t val.,p
-14.1982,13.8406,-1.0258,0.3069
1.0652,0.0494,21.5474,0
5.8615,0.9985,5.8703,0
-3.0541,0.505,-6.048,0
-0.0065,0.0012,-5.2534,0
-0.2099,0.0359,-5.8529,0
