"","model","(Intercept)","elev","FR_MATDE","HIDRO_ITH","TP_ES_OE","TP_RSH_V","TP_RSD_P","DS_ARBOL","df","logLik","BIC","delta","weight","r2"
"friq1",riq ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + elev + TP_ES_OE,-14.7718372674071,-0.00661213604867857,1.10536064180534,-3.18415816211268,-0.23183303772458,6.10197941020888,NA,NA,7,-325.012383240659,682.260957783234,0,0.591482702623834,0.851
"friq2",riq ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + elev + TP_ES_OE + TP_RSD_P,-12.5070990201809,-0.00798718678914468,1.13125395439176,-3.60990156997847,-0.246745369313906,5.79264114230263,0.00156086963906598,NA,8,-323.379226240253,683.59981396841,1.33885618517604,0.302839919422833,0.855
"friq3",riq ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + elev + TP_ES_OE + DS_ARBOL,-11.74475061403,-0.00597854987172403,1.08336081877259,-3.01755465754376,-0.226467433734983,5.71121339219456,NA,-0.000382308916748438,8,-324.839682678878,686.520726845662,4.25976906242727,0.0702983205334544,0.851
"friq4",riq ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + elev + TP_ES_OE + DS_ARBOL + TP_RSD_P,-10.9698487224541,-0.00761459380403422,1.1189173169664,-3.51016280074102,-0.243500182020412,5.59466474890737,0.00151795552959862,-0.000202012509573335,9,-323.33072319896,688.107978071812,5.84702028857794,0.0317890628617692,0.856
"friq5",riq ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + TP_ES_OE + DS_ARBOL,-21.0698238930891,NA,1.06589935840535,-1.44656387765169,-0.263556787348389,4.94496906661371,NA,-0.00168578310602093,7,-330.116864993758,692.469921289432,10.2089635061981,0.00358999455811024,0.835
