"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","0.9169 (0.2269)","4.0417","<0.001"
"2","FR_MATDELog","0.4010 (0.0314)","12.7865","<0.001"
"3","HIDRO_ITH","0.1085 (0.0227)","4.7779","<0.001"
"4","DS_ARBOLLog","-0.1249 (0.0196)","-6.3613","<0.001"
"5","DegreeFreedom","132","",""
"6","AIC","133","",""
"7","BIC","147","",""
"8","DevianceExplained","0.663","",""
