"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","-5.1443 (13.5756)","-0.3789","0.71"
"2","FR_MATDE","1.0604 (0.0476)","22.2914","<0.001"
"3","TP_RSH_V","5.7783 (0.9606)","6.0151","<0.001"
"4","HIDRO_ITH","-3.1452 (0.4864)","-6.4661","<0.001"
"5","elev","-0.0066 (0.0012)","-5.5167","<0.001"
"6","TP_ES_OE","-0.2110 (0.0345)","-6.1156","<0.001"
"7","p_anu_year","-0.0183 (0.0054)","-3.3973","<0.001"
"8","DegreeFreedom","129","",""
"9","AIC","887","",""
"10","BIC","910","",""
"11","DevianceExplained","0.856","",""
