diversidad,year,nombre,code
2.1910133173369406,2015,La Fabriquilla,FA
1.8559366991617203,2015,Laguna Seca,LS
3.0127396432414053,2015,Las Catifas,CA
2.342346807733147,2015,Las Sabinas,SA
2.2829935741265412,2015,Loma papeles bajo,PB
2.8990252006325345,2015,Los Praillos,PR
2.8534643365868164,2015,Matas verdes,MV
2.2494118382771298,2015,Papeles alto,PA
2.7046061583675924,2015,Purche,PU
3.2156760060952663,2015,Robledal dilar,DI
1.500396360591746,2016,Aguas Verdes,AV
2.97289372150049,2016,Barranco de San Juan,BSJ
2.859105141186058,2016,BMS_ DurcaL,DU
0.7953925793285946,2016,BMS_Laguna,LP
2.989784032271893,2016,BMS_Pitres,PI
1.4640595805863645,2016,BMS_Turbera,TP
2.7600187238756706,2016,Campo Otero,CO
1.3114313374732374,2016,Carihuela,CAR
0.714444721196966,2016,Cauchiles,CAU
2.33895507952585,2016,Hoya Mora,HM
2.3401969714087216,2016,La Fabriquilla,FA
2.2185132373912597,2016,Laguna Seca,LS
2.7407499386761023,2016,Las Catifas,CA
2.2603834427322123,2016,Las Sabinas,SA
2.72791667215363,2016,Loma papeles bajo,PB
2.7991708741398624,2016,Los Praillos,PR
3.162650692870366,2016,Matas verdes,MV
2.4977807220534434,2016,Papeles alto,PA
3.047335284505846,2016,Purche,PU
3.2954849479786255,2016,Robledal dilar,DI
1.6312216321216604,2017,Aguas Verdes,AV
3.1670795132343796,2017,Barranco de San Juan,BSJ
2.964155614123048,2017,BMS_ DurcaL,DU
0.7122214105034074,2017,BMS_Laguna,LP
2.694444308948908,2017,BMS_Pitres,PI
1.4561969795054281,2017,BMS_Turbera,TP
2.7601216613386685,2017,Campo Otero,CO
1.277034259466139,2017,Carihuela,CAR
2.2735964118549963,2017,Cauchiles,CAU
2.621718734651965,2017,Hoya Mora,HM
2.5580934774478443,2017,La Fabriquilla,FA
2.2001927179469547,2017,Laguna Seca,LS
2.789496809388031,2017,Las Catifas,CA
2.613078679741245,2017,Las Sabinas,SA
2.4920036065853117,2017,Loma papeles bajo,PB
3.195789089323783,2017,Los Praillos,PR
3.3009729368097536,2017,Matas verdes,MV
2.0542806303174923,2017,Papeles alto,PA
3.0662554323135476,2017,Purche,PU
3.1709762214616792,2017,Robledal dilar,DI
NA,2018,Aguas Verdes,AV
NA,2018,Barranco de San Juan,BSJ
3.014968077070002,2018,BMS_ DurcaL,DU
0.9471027020964146,2018,BMS_Laguna,LP
2.817176786033253,2018,BMS_Pitres,PI
1.8066006437283926,2018,BMS_Turbera,TP
NA,2018,Campo Otero,CO
NA,2018,Carihuela,CAR
NA,2018,Cauchiles,CAU
NA,2018,Hoya Mora,HM
NA,2018,La Fabriquilla,FA
NA,2018,Laguna Seca,LS
NA,2018,Las Catifas,CA
NA,2018,Las Sabinas,SA
NA,2018,Loma papeles bajo,PB
NA,2018,Los Praillos,PR
NA,2018,Matas verdes,MV
NA,2018,Papeles alto,PA
NA,2018,Purche,PU
NA,2018,Robledal dilar,DI
1.1081570439174733,2019,Aguas Verdes,AV
2.719430028252753,2019,Barranco de San Juan,BSJ
3.185161532964631,2019,BMS_ DurcaL,DU
0.7200662460280837,2019,BMS_Laguna,LP
2.912657735427832,2019,BMS_Pitres,PI
2.187146575600781,2019,BMS_Turbera,TP
2.728656466199678,2019,Campo Otero,CO
1.4941751382893083,2019,Carihuela,CAR
1.3482904899303108,2019,Cauchiles,CAU
2.3589181324852033,2019,Hoya Mora,HM
2.157669752848167,2019,La Fabriquilla,FA
1.4875218107687898,2019,Laguna Seca,LS
2.919715011225811,2019,Las Catifas,CA
2.1157332708131045,2019,Las Sabinas,SA
2.6513990624621933,2019,Loma papeles bajo,PB
3.2160865758885855,2019,Los Praillos,PR
3.1289585801232564,2019,Matas verdes,MV
2.591018306831353,2019,Papeles alto,PA
2.9660365474218287,2019,Purche,PU
3.127954928816688,2019,Robledal dilar,DI
