diversidad,year,nombre,code
0.6863867393223924,2012,Aguas Verdes,AV
2.8676693241396913,2012,Barranco de San Juan,BSJ
NA,2012,BMS_ DurcaL,DU
NA,2012,BMS_Laguna,LP
NA,2012,BMS_Pitres,PI
NA,2012,BMS_Turbera,TP
2.678181541617177,2012,Campo Otero,CO
0.6001660731596457,2012,Carihuela,CAR
1.9792045174343245,2012,Cauchiles,CAU
2.4011179373159632,2012,Hoya Mora,HM
2.578439985141849,2012,La Fabriquilla,FA
1.8048977894309577,2012,Laguna Seca,LS
2.3929095563266336,2012,Las Catifas,CA
2.3559947121903133,2012,Las Sabinas,SA
2.642321516396103,2012,Loma papeles bajo,PB
2.4871903134361104,2012,Los Praillos,PR
2.1666545713074545,2012,Matas verdes,MV
2.155634680269185,2012,Papeles alto,PA
2.7029524750528076,2012,Purche,PU
2.2571882906523473,2012,Robledal dilar,DI
0.2562062895402442,2013,Aguas Verdes,AV
2.8000796375153065,2013,Barranco de San Juan,BSJ
NA,2013,BMS_ DurcaL,DU
NA,2013,BMS_Laguna,LP
NA,2013,BMS_Pitres,PI
NA,2013,BMS_Turbera,TP
2.48773092949183,2013,Campo Otero,CO
0.7595473914748635,2013,Carihuela,CAR
1.7973158472230857,2013,Cauchiles,CAU
2.6305644750634,2013,Hoya Mora,HM
2.4737871164049645,2013,La Fabriquilla,FA
1.6019032238627895,2013,Laguna Seca,LS
2.9224368192531878,2013,Las Catifas,CA
2.5672705057005683,2013,Las Sabinas,SA
2.615667873099959,2013,Loma papeles bajo,PB
3.011157061380932,2013,Los Praillos,PR
2.706661553202392,2013,Matas verdes,MV
1.9402938398672032,2013,Papeles alto,PA
2.596572919770695,2013,Purche,PU
2.496414506661779,2013,Robledal dilar,DI
0.5399569949473593,2014,Aguas Verdes,AV
2.801913414661108,2014,Barranco de San Juan,BSJ
2.964404985277761,2014,BMS_ DurcaL,DU
1.7302758579105455,2014,BMS_Laguna,LP
2.8247631701696094,2014,BMS_Pitres,PI
1.5597218452277812,2014,BMS_Turbera,TP
2.501360536455257,2014,Campo Otero,CO
0.45056120886630463,2014,Carihuela,CAR
0.9799831636161058,2014,Cauchiles,CAU
2.4993694381378893,2014,Hoya Mora,HM
2.56684741453344,2014,La Fabriquilla,FA
1.5764222973815167,2014,Laguna Seca,LS
2.7150872170163294,2014,Las Catifas,CA
2.5552066651028245,2014,Las Sabinas,SA
2.4501666187990137,2014,Loma papeles bajo,PB
3.1956037148306895,2014,Los Praillos,PR
2.7283029909024727,2014,Matas verdes,MV
2.0602802917091902,2014,Papeles alto,PA
2.8406547636100847,2014,Purche,PU
2.7089986965704163,2014,Robledal dilar,DI
1.0043688496312275,2015,Aguas Verdes,AV
3.040517455890316,2015,Barranco de San Juan,BSJ
3.2093669465989794,2015,BMS_ DurcaL,DU
1.2463254863888542,2015,BMS_Laguna,LP
2.761748830351366,2015,BMS_Pitres,PI
1.5883713697889648,2015,BMS_Turbera,TP
2.639487809538827,2015,Campo Otero,CO
NA,2015,Carihuela,CAR
0.7640616527317856,2015,Cauchiles,CAU
2.3949694436378732,2015,Hoya Mora,HM
