"","model","(Intercept)","DS_ARBOL","FR_MATDE","HIDRO_ITH","TP_RSH_V","TP_RSD_P","t_anual_year","df","logLik","BIC","delta","weight"
"fden1",den ~ 1 + FR_MATDE + HIDRO_ITH + DS_ARBOL,0.985502288601038,-0.000403189212657724,0.105600768386885,0.249726535261039,NA,NA,NA,5,-184.273357687643,391.572566305226,0,0.478229629178136
"fden2",den ~ 1 + FR_MATDE + DS_ARBOL,2.89882527949137,-0.000447519081039046,0.100376818017099,NA,NA,NA,NA,4,-187.216052751226,392.852786246404,1.28021994117825,0.252139131005088
"fden3",den ~ 1 + FR_MATDE + TP_RSH_V + HIDRO_ITH + DS_ARBOL,6.5827180739937,-0.000469442784213117,0.0962662152266066,0.274892555058914,-0.436587408885208,NA,NA,6,-183.217441385544,394.065903887017,2.49333758179114,0.137472269721243
"fden4",den ~ 1 + FR_MATDE + HIDRO_ITH + DS_ARBOL + TP_RSD_P,1.80510469279353,-0.000374978548757609,0.103033586435849,0.255720145092142,NA,-0.000171756108621878,NA,6,-183.791467526161,395.213956168251,3.64138986302555,0.0774316863661091
"fden5",den ~ 1 + FR_MATDE + HIDRO_ITH + DS_ARBOL + t_anual_year,1.06504797526306,-0.000430269925036146,0.104995162784723,0.285811397106489,NA,NA,-0.0256977050941455,6,-184.138501234011,395.90802358395,4.33545727872416,0.0547272837294245
