code,umbral_riqueza
AV,12.8
BSJ,54.400000000000006
CA,48.800000000000004
CAR,6.4
CAU,14.4
CO,54.400000000000006
DI,65.60000000000001
DU,49.6
FA,40.800000000000004
HM,36
LP,19.200000000000003
LS,29.6
MV,62.400000000000006
PA,35.2
PB,44
PI,48.800000000000004
PR,56.800000000000004
PU,61.6
SA,37.6
TP,32.800000000000004
