"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","8.06 (2.25)","3.59","<0.001"
"2","FR_MATDELog","-1.48 (0.36)","-4.12","<0.001"
"3","HIDRO_ITH","-0.85 (0.33)","-2.58","0.01"
"4","DS_ARBOLLog","-0.87 (0.27)","-3.27","0.001"
"5","FR_MATDELog by HIDRO_ITH","0.21 (0.05)","4.48","<0.001"
"6","FR_MATDELog by DS_ARBOLLog","0.07 (0.02)","3.18","0.002"
"7","HIDRO_ITH by DS_ARBOLLog","0.10 (0.04)","2.45","0.02"
"8","DegreeFreedom","129","",""
"9","AIC","111","",""
"10","BIC","134","",""
"11","DevianceExplained","0.725","",""
