"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","0.92 (0.23)","4.04","<0.001"
"2","FR_MATDELog","0.40 (0.03)","12.79","<0.001"
"3","HIDRO_ITH","0.11 (0.02)","4.78","<0.001"
"4","DS_ARBOLLog","-0.12 (0.02)","-6.36","<0.001"
"5","DegreeFreedom","132","",""
"6","AIC","133","",""
"7","BIC","147","",""
"8","DevianceExplained","0.663","",""
