Est.,S.E.,t val.,p
2.7744,1.4255,1.9462,0.0538
0.2793,0.1012,2.7591,0.0066
-0.2083,0.0631,-3.3004,0.0012
-8e-4,2e-4,-4.9186,0
1.1348,0.0575,19.7268,0
-0.1228,0.0454,-2.7065,0.0077
