code,n,n_year_selected
AV,16,14
BSJ,68,62
CA,61,57
CAR,8,8
CAU,18,15
CO,68,63
DI,82,80
DU,62,61
FA,51,43
HM,45,37
LP,24,23
LS,37,34
MV,78,77
PA,44,39
PB,55,53
PI,61,61
PR,71,64
PU,77,73
SA,47,41
TP,41,37
