"","model","(Intercept)","DS_ARBOLLog","FR_MATDELog","HIDRO_ITH","TP_RSD_P","TP_ES_OE","TP_RSH_V","df","logLik","BIC","delta","weight","r2"
"fdent1",den_sqrt ~ 1 + HIDRO_ITH + FR_MATDELog + DS_ARBOLLog,0.862101217321251,-0.125700904149182,0.386778823481678,0.117204291863438,NA,NA,NA,5,-41.7673365046514,106.560523939243,0,0.512658107377772,0.668
"fdent2",den_sqrt ~ 1 + HIDRO_ITH + TP_RSD_P + FR_MATDELog + DS_ARBOLLog,1.13993901497493,-0.111620435253063,0.375176898506217,0.116742702716305,-6.61737030404945e-05,NA,NA,6,-40.595980620697,108.822982357323,2.26245841807916,0.165402178995095,0.676
"fdent3",den_sqrt ~ 1 + HIDRO_ITH + TP_ES_OE + FR_MATDELog + DS_ARBOLLog,0.735364974906909,-0.139981777100463,0.381504659373188,0.124439012421739,NA,0.0033105622866683,NA,6,-40.6470684812013,108.925158078331,2.36463413908781,0.157164353612624,0.675
"fdent4",den_sqrt ~ 1 + HIDRO_ITH + TP_ES_OE + TP_RSD_P + FR_MATDELog + DS_ARBOLLog,1.05634442376612,-0.126113730751005,0.364875672744379,0.12604998344485,-8.56634297515803e-05,0.0043211620725993,NA,7,-38.7323491803326,109.700889662582,3.14036572333849,0.106636547916073,0.688
"fdent5",den_sqrt ~ 1 + TP_RSH_V + HIDRO_ITH + FR_MATDELog + DS_ARBOLLog,1.25677828642465,-0.125970209860689,0.384721311879547,0.120038870178104,NA,NA,-0.0319622125296131,6,-41.6415271141149,110.914075344158,4.35355140491504,0.0581388120984362,0.669
