"","model","(Intercept)","DS_ARBOLLog","FR_MATDELog","HIDRO_ITH","TP_ES_OE","TP_RSH_V","elev","df","logLik","BIC","delta","weight","r2"
"fdivt1",div ~ 1 + TP_RSH_V + HIDRO_ITH + TP_ES_OE + FR_MATDELog + DS_ARBOLLog,1.05761252611301,-0.158507486661558,0.481938780088088,-0.0743698569439936,-0.00470159028395782,0.155784264378864,NA,7,-27.3264224602428,86.8186838714277,0,0.334488097690037,0.816
"fdivt2",div ~ 1 + TP_RSH_V + HIDRO_ITH + elev + FR_MATDELog + DS_ARBOLLog,1.71913045081352,-0.142985810538958,0.45726544873709,-0.122409288191391,NA,0.13745997223309,-0.000188718460430786,7,-27.7471715690489,87.66018208904,0.841498217612312,0.219609767608456,0.814
"fdivt3",div ~ 1 + TP_RSH_V + HIDRO_ITH + FR_MATDELog + DS_ARBOLLog,1.00214131847409,-0.178237160783381,0.472954987110742,-0.0638387493329846,NA,0.145963715306264,NA,6,-30.1631930165692,87.8971051339459,1.07842126251816,0.19507628072655,0.805
"fdivt4",div ~ 1 + TP_RSH_V + HIDRO_ITH + elev + TP_ES_OE + FR_MATDELog + DS_ARBOLLog,1.60008251819256,-0.134988967191899,0.468177391370398,-0.117571583535572,-0.00382985639031384,0.147407542078088,-0.000145490464867598,8,-25.9229451769807,88.6068491550381,1.78816528361037,0.136799815258573,0.821
"fdivt5",div ~ 1 + HIDRO_ITH + elev + FR_MATDELog + DS_ARBOLLog,3.46382821321812,-0.141305954706175,0.4470583977138,-0.114876643167882,NA,NA,-0.000203066270212242,6,-30.700156849748,88.9710328003035,2.15234892887582,0.114026038716383,0.803
