nombre,mean,sd,se,elev,code
Aguas Verdes,NA,NA,NA,3122,AV
Barranco de San Juan,NA,NA,NA,1300,BSJ
BMS_ DurcaL,NA,NA,NA,1967,DU
BMS_Laguna,NA,NA,NA,737,LP
BMS_Pitres,NA,NA,NA,1278,PI
BMS_Turbera,NA,NA,NA,754,TP
Campo Otero,NA,NA,NA,2320,CO
Carihuela,NA,NA,NA,3100,CAR
Cauchiles,NA,NA,NA,2800,CAU
Hoya Mora,NA,NA,NA,2528,HM
La Fabriquilla,NA,NA,NA,1000,FA
Laguna Seca,NA,NA,NA,2284,LS
Las Catifas,NA,NA,NA,1600,CA
Las Sabinas,NA,NA,NA,2200,SA
Loma papeles bajo,NA,NA,NA,2195,PB
Los Praillos,NA,NA,NA,1900,PR
Matas verdes,NA,NA,NA,1894,MV
Papeles alto,NA,NA,NA,2466,PA
Purche,NA,NA,NA,1493,PU
Robledal dilar,NA,NA,NA,1679,DI
