Est.,S.E.,t val.,p
1.7191,0.8138,2.1124,0.0373
0.1375,0.0575,2.391,0.0188
-0.1224,0.0352,-3.4727,8e-4
-2e-4,1e-4,-2.1568,0.0336
0.4573,0.0326,14.0249,0
-0.143,0.0258,-5.5434,0
